title_en, title_cn, day_num, start_time, end_time
Mysore,自由练习,0,07:00,09:00,
Private class,常规私教课,0,09:05,10:05,
Hip  shoulder opening Vinyasa,开肩开胯流,0,10:00,11:10,
Ashtanga Beginner,Ashtanga 基础,0,11:45,13:00,
FineYoga meditation,梵音瑜伽冥想,0,12:00,13:15,
Private class,常规私教课,0,13:00,14:00,
Youthful Backbend Vinyasa,年轻态后弯流,0,14:30,15:45,
Hip  shoulder opening Vinyasa,开肩开胯流,0,17:30,18:45,
Shoulder / neck therapy,肩颈理疗,0,18:00,19:15,
Corporate Yoga Class,会馆企业课,0,18:15,19:30,
Private class,常规私教课,0,18:30,19:30,
Private class,常规私教课,0,19:00,20:00,
Youthful Backbend Vinyasa,年轻态后弯流,0,19:00,20:15,
Private class,常规私教课,0,19:00,20:00,
Ashtanga Basic,Ashtanga 中级,0,19:30,20:45,
Fine Basic,梵音基础,0,20:00,21:15,
Mysore,自由练习,1,07:00,09:00,
Shoulder / neck therapy,肩颈理疗,1,07:15,08:30,
Fine Basic,梵音基础,1,09:45,11:00,
Pilates (private class),普拉提核心床私教,1,10:00,11:00,
Private class,常规私教课,1,10:00,11:00,
Youthful Backbend Vinyasa,年轻态后弯流,1,12:00,13:15,
Private class,常规私教课,1,12:10,13:10,
Corporate Yoga Class,会馆企业课,1,12:15,13:30,
Hip  shoulder opening Vinyasa,开肩开胯流,1,14:00,15:15,
Private class,常规私教课,1,14:00,15:00,
FineYoga meditation,梵音瑜伽冥想,1,15:30,16:45,
Private experience class,私教体验课,1,17:00,18:00,
Fine Basic,梵音基础,1,18:00,19:15,
Private class,常规私教课,1,18:10,19:10,
Hot,热瑜伽,1,18:30,19:30,
Ashtanga Basic,Ashtanga 中级,1,19:00,20:15,
Yin Yoga meditation,内观阴瑜伽,1,19:30,20:45,
Pilates Reformer,普拉提核心床（小班课）,1,19:30,20:30,
Shoulder / neck therapy,肩颈理疗,1,20:00,21:15,
Private class,常规私教课,1,20:30,21:30,
Mysore,自由练习,2,07:00,09:00,
Ashtanga Basic,Ashtanga 中级,2,09:30,10:45,
Fine Basic,梵音基础,2,11:45,13:00,
Corporate Yoga Class,会馆企业课,2,11:45,13:00,
Junior Pilates Sculpt,初级普拉提塑形,2,12:00,13:00,
Private class,常规私教课,2,12:00,13:00,
Private class,常规私教课,2,14:00,15:00,
Pilates Reformer,普拉提核心床（小班课）,2,14:00,15:00,
Hip  shoulder opening Vinyasa,开肩开胯流,2,15:30,16:45,
Ashtanga Beginner,Ashtanga 基础,2,16:45,18:00,
Shoulder / neck therapy,肩颈理疗,2,18:00,19:15,
Corporate Yoga Class,会馆企业课,2,18:15,19:30,
Private class,常规私教课,2,18:15,19:15,
Hip  shoulder opening Vinyasa,开肩开胯流,2,18:30,19:45,
FineYoga meditation,梵音瑜伽冥想,2,19:30,20:45,
Safe vinyasa inversions,安全倒立流,2,20:00,21:15,
Private class,常规私教课,2,20:00,21:00,
Mysore,自由练习,3,07:00,09:00,
Ashtanga Beginner,Ashtanga 基础,3,07:15,08:30,
Private class,常规私教课,3,09:10,10:10,
Private class,常规私教课,3,09:30,10:30,
Youthful Backbend Vinyasa,年轻态后弯流,3,10:00,11:15,
Private class,常规私教课,3,10:15,11:15,
Shoulder / neck therapy,肩颈理疗,3,11:45,13:00,
Safe vinyasa inversions,安全倒立流,3,12:00,13:15,
Private class,常规私教课,3,12:00,13:00,
Corporate Yoga Class,会馆企业课,3,12:15,13:30,
Private class,常规私教课,3,12:30,13:30,
Fine Basic,梵音基础,3,15:30,16:45,
Private class,常规私教课,3,16:00,17:00,
Private class,常规私教课,3,17:40,18:40,
Private class,常规私教课,3,18:00,19:00,
Yoga Sculpt,全面塑形瑜伽,3,18:00,19:00,
Youthful Backbend Vinyasa,年轻态后弯流,3,18:30,19:45,
Ashtanga Beginner,Ashtanga 基础,3,19:00,20:15,
Private class,常规私教课,3,19:30,20:30,
Safe vinyasa inversions,安全倒立流,3,19:30,20:45,
Pilates Reformer,普拉提核心床（小班课）,3,19:30,20:30,
Shoulder / neck therapy,肩颈理疗,3,20:00,21:15,
Mysore,自由练习,4,07:00,09:00,
Shoulder / neck therapy,肩颈理疗,4,10:00,11:15,
Yoga Sculpt,全面塑形瑜伽,4,12:00,13:00,
Hot,热瑜伽,4,14:00,15:00,
Safe vinyasa inversions,安全倒立流,4,15:00,16:15,
Hip  shoulder opening Vinyasa,开肩开胯流,4,17:30,18:45,
Private class,常规私教课,4,18:15,19:15,
Fine Barre,芭蕾塑形,4,18:30,19:30,
Yin Yoga meditation,内观阴瑜伽,4,19:00,20:15,
Hip  shoulder opening Vinyasa,开肩开胯流,4,19:45,21:00,
Fine Basic,梵音基础,5,10:00,11:15,
Private class,常规私教课,5,10:30,11:30,
Hip  shoulder opening Vinyasa,开肩开胯流,5,10:45,12:00,
Intermediate Pilates Sculpt,中级普拉提塑形,5,12:00,13:00,
Youthful Backbend Vinyasa,年轻态后弯流,5,13:30,14:45,
Ashtanga Basic,Ashtanga 中级,5,15:30,16:45,
Core Yoga,腰腹塑形瑜伽,5,17:30,18:30,
Safe vinyasa inversions,安全倒立流,5,18:00,19:15,
Private class,常规私教课,5,18:00,19:00,
FineYoga meditation,梵音瑜伽冥想,5,18:40,19:55,
Private class,常规私教课,5,19:00,20:00,
Private class,常规私教课,5,19:00,20:00,
Private class,常规私教课,5,20:00,21:00,
Private class,常规私教课,5,20:10,21:10,
Private class,常规私教课,6,09:00,10:00,
Private class,常规私教课,6,10:00,11:00,
Ashtanga Basic,Ashtanga 中级,6,10:45,12:00,
Fine Basic,梵音基础,6,10:45,12:00,
Shoulder / neck therapy,肩颈理疗,6,12:00,13:15,
Youthful Backbend Vinyasa,年轻态后弯流,6,14:00,15:15,
Pilates Reformer,普拉提核心床（小班课）,6,14:00,15:00,
Private class,常规私教课,6,14:00,13:00,
Hot,热瑜伽,6,15:30,16:30,
Yin Yoga meditation,内观阴瑜伽,6,17:30,18:45,
Junior Pilates Sculpt,初级普拉提塑形,6,18:00,19:00,
Hip  shoulder opening Vinyasa,开肩开胯流,6,18:30,19:45,
Private class,常规私教课,6,19:00,20:00,
Private class,常规私教课,6,20:10,21:10,
